which,1220752,59893737920138925840657643
first,1033698,1639517415819745604501
known,742591,2622793218821964000247199
after,694687,6556196274810337562
their,655785,24344716465430909534
world,595283,56933525776826665969061
state,592508,27672666716786858
south,554390,1041605555368770352271
album,539086,217275644841913602209431
other,510524,9897009248226088186
north,448580,24981309642285098717687
years,374514,16120054234601270
where,361546,389369546516095964
three,355818,49772339955070876
music,353576,18274568428088280146101
river,347922,21361928866022413922
since,345466,1131721540681997278
there,343668,32265331678605844
march,340792,130438562578104043080383
about,336251,9095987022906792784339
house,336189,1044086388940286822
under,335475,75873537541991451526
later,330805,451989424757314246
group,319107,173345080098746332256659
april,309299,1653234411847820056433
until,305872,73067678692944423388039
found,269828,676201396435580501169559
based,269562,600644733838531514
party,266614,15708805849337849552413
being,262925,877112014114848383810
named,253942,39663602136876116806
games,246232,1418702280587284022
while,243441,1304989201689213681758
early,232821,400740838663871226
built,225728,467967291806635868418637
place,225174,34684268859535152754
these,215479,1608231324564956
major,199259,14947016449211954616083
small,196056,110485178220162600119
award,189544,1626095682623734021709
would,186292,382045406087161268402273
final,182705,26245178487772244739751
local,182670,1209382983162528310343
title,180980,17812605081559272374
third,179643,140377973680997870333093
india,178543,3665281210102387624933
union,176153,19995931715453015182121
along,175769,3794776540843720530911
genus,164973,6442327543390667770
james,157866,3449392416582531254
radio,156376,187489282019848192303
began,151978,121582524229663556090
death,151842,17057464274840953870
event,144292,100888359951220212
often,142319,91956447852985751926
plays,141603,686747164767720148801
royal,140803,380503176995383019099
large,140389,3705125645674873394
great,139490,3821788057088520862
rural,134421,483223580502317996017
times,133215,1780610831807547938
field,131772,248392279878100098398
among,131695,28528631860187139004859
coach,130438,48790224494680426763219
works,130340,5249673944405588139919
order,128558,1008699472036810202
david,128365,140968366556272567595333
water,126693,7857014246085167218
court,126318,20999619980163182040523
debut,125400,816750457802752023130
japan,124684,28910158530501855163133
miles,123334,1271778903007005514
white,123108,1871414789071522634186
black,121935,966116830924584261969467
china,118347,75196192423964658513869
total,115817,471073721779659165031
power,115308,87329377650804452174
actor,111855,568129189303697080351
route,111546,3496893095648026594
civil,110098,665606586171280386527743
given,110046,3005745897854528625698
films,109308,24331759966819777248479
short,109235,175100231637628020359
medal,108310,11766008740092773230
teams,107103,101968608698939090
video,106796,102407963173798269922
novel,104740,82605719880174537134
texas,104643,398485517915643890
songs,103320,15009965616777657143
level,102587,83145428288462980
moved,102373,975628543276195423318
point,101728,32996281096872311836157
class,101266,2585306312492375111
greek,100904,302574728673607852
those,100339,608026314351593722
still,100278,171337153547261234563
young,99891,589350761408884112138029
board,99007,3229401036555248619263
story,98557,80821086464095460101
grand,98206,28256137055761019141179
owned,98048,227937308766505386554
force,97308,76213091223373857922
coast,96970,32657364284558262043
media,96011,8100629180978030230
rugby,95075,7324238827833590723921381
books,94839,1927892660279658814727
roman,93793,1324972724842297620923
range,92838,7414417505546338586
henry,91799,152474362657249685930
chief,90709,5027785182475719015946
round,90666,16378788790492723013413
track,90294,42363564862850756822027
areas,88946,375211223523962
plant,88729,21773320259333631183733
wales,88520,322193904730272058
women,87576,547163559759351027526
using,85730,7236024484418569985063
style,85669,1025844579088916522
irish,85280,363243605384697753277
seven,83771,2104141740357140
human,82756,427616017658767215600181
chart,82439,30466104448476260560783
light,81303,1216976659263349506164449
peter,80313,15032353596885020
green,80133,46495910835873884
stage,79269,191179049782584734
again,79056,1099565431431919636403
dutch,76935,7306786775380950855449909
italy,75680,4542651938227843716449
could,75580,117563729332335834967631
creek,75360,156189574917733588
model,74721,52337580506468068834
spain,74681,127148198801290612471
space,74381,437733372086864438
saint,74366,25602589220895331163
drama,73971,911175174305474552843
lower,72230,13626362598770413426
brown,72118,440870053259646901412647
eight,71730,285329215567195382634
paris,69988,39043212280720997299
right,69824,465895054151968860610883
wrote,69110,24649978634623662814
today,68718,4561350805401350072279
every,68413,54397708651400604
gmina,68119,126252934024735664575409
match,67407,477679865596989745971893
stars,67332,175634860338122461
whose,65717,7337501831599422782
names,65569,278097510272932834
label,64789,10015072270294168418
parts,64339,83151746452747287013
trade,62745,1843161891742883686
louis,62286,103759523501226801269
study,61212,8909590536755492104217
close,61166,260301623489154494
prior,61125,1763186425569603042947
smith,60888,10639778649149522862809
mount,60413,154365219056789592023779
minor,60403,11189723767342929460999
latin,59906,2020900741146560014723
never,59246,65145497934904420
fifth,58344,27198565861314846767636353
prize,58187,436604230690235190986
added,57981,26606780476509295238
youth,57860,359715092522353642367719
sound,56497,539996813241721908067
night,56379,2472044768804919595910537
asian,56170,1677192987622070987
least,55298,12482334847011730
cross,55205,2399645066930631139
taken,55013,32695045592652931378
above,54332,40866056483933565482
front,54174,49840153566125104843223
means,54037,145419121943702630
upper,53979,462324165504552794278
mayor,53573,2638799874065681423021
shows,53248,111707005617427777649
press,53101,7604417207966278
beach,52958,233443033873850973530
movie,52919,243208896058556514242
dance,52115,32177221657715799782
roles,52091,18009839922253586
opera,51886,295890830369609426
noted,50657,19072772325772381634
spent,50283,1770394630204191418
forms,50225,2613705517236815549929
czech,49722,36730602879215143729082
stone,49677,91499823740667446
woman,49656,60163120502630460708427
lived,49123,456699076396257435466
aired,49122,628348367270380966
super,49001,909048914782883138
metal,48937,5081229207073798390
frank,48470,178121541616563944987051
hotel,47979,25997848496682868058
urban,47550,30235523042113258091753
queen,47376,937370324253876436
santa,47207,3403592119191712913
tower,46919,19628330447363282018
legal,46410,4844136807083811170
prime,46249,152206764594786266378
korea,45442,1005520297497183842
ended,45348,55124952939739716
heart,44923,2189014220087924210
terms,44906,487037362948131070
staff,43716,4525005968923383857051
lives,43494,3202101403988874574
rules,43490,254564355621581918
sixth,42833,37797480450631638675481
jones,42824,2367563250711665402
judge,42608,28399946867060646791966
refer,42520,9644941693127180
child,42473,1385599251867107257425611
train,42247,862877072664254573239
sport,42041,129359781819920161249
cover,41479,83906504168736013094
below,40960,224201642192345257070
grade,40272,13259535548094392258
scott,40120,408191299300959571511
maria,39755,184081080214375001743
lines,39724,334278642113786326
voice,39528,163373014718126087654
clubs,39407,51962564353147721641187
ocean,39162,1276738363714345882
units,39020,1599762967658237845297
naval,38766,3578552225086931745371
mixed,38484,4744563523170736513798
earth,38448,1136028338676911598
daily,37747,9419533987690623015143
tamil,37556,7663397057061888292093
hills,37268,1868640539437282373449
score,36399,65370419313047446
start,35901,11893188563404848937
draft,35872,31593919844616051534383
horse,35857,155592812767401854
girls,35823,846522750822274283203
takes,35356,360938337886843706
serve,35195,456690582287420
corps,34972,755440665139643768401
money,34696,134907095007863797498
peace,34572,13228677241517660
comic,34405,370339332599147936497751
baron,34397,2030066953585186327447
honor,34292,3618069356231642287819
metro,34171,4660341388776361070
falls,33842,374212411626165028219
cases,33777,1799603612374238
heavy,33750,302639239000075699310
ships,33589,140974048998279849449
goals,33491,49821434002766491249
arena,33381,33740063720321434
steve,33254,2317897211255444
holds,33248,1655683157216977298713
brand,33224,34133273768526881578117
acres,32972,35219762638433318
weeks,32749,14477953960689940
trail,32438,430355718516245541319
speed,32373,1499537504205356
swiss,32282,845809253837309869
store,32233,17683799813736394
chris,32134,3846067345888421370427
trust,32096,575772469032629192761
crime,31840,127040200306964171422
block,31744,2353270311129233547447947
seats,31630,177921616891910
flows,31514,16126330590693277148003
paper,31443,12866153317896108626
twice,31422,1080907024450661764954
joint,31292,129719168775333372677929
costa,31093,33269708248582605733
towns,31059,2800941558957274264237
owner,30915,27849659923417034054
